number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
77,0.1005251556634903,2026-05-15 12:58:16.376354,2026-05-15 12:58:16.669775,0 days 00:00:00.293421,0.029594169683747316,48,1.003231398545599,0.16462946189195327,0.004880519466455734,5,0.475492712623539,4500,PRUNED
78,0.14571213722229004,2026-05-15 12:58:16.678874,2026-05-15 12:58:16.961481,0 days 00:00:00.282607,0.022997626639704526,64,1.2984043528501255,0.020952047782026893,0.006565695425026398,6,0.39245224557142366,4500,PRUNED
79,0.10411436855792999,2026-05-15 12:58:16.974053,2026-05-15 12:58:17.196543,0 days 00:00:00.222490,0.00833867694124251,96,2.5815756214275094,0.24363210179946804,0.0019092530441120984,4,0.45281681207279095,4000,PRUNED
80,0.18040485680103302,2026-05-15 12:58:17.202753,2026-05-15 12:58:17.443868,0 days 00:00:00.241115,0.07518059222152516,48,3.080928172671478,0.7773232560221904,0.00043588680841034417,5,0.39457960290105154,3500,PRUNED
81,0.0022085963282734156,2026-05-15 12:58:17.450195,2026-05-15 12:58:40.338308,0 days 00:00:22.888113,0.005069958300439015,80,1.6510082163238846,0.35994691727814426,0.007121610307599878,4,0.5058267831776556,4000,COMPLETE
82,0.0021949762012809515,2026-05-15 12:58:40.352029,2026-05-15 12:59:07.349107,0 days 00:00:26.997078,0.00454659590713789,80,1.5003370475324032,0.38019929015383946,0.007645243653264144,4,0.5152458280193315,4000,COMPLETE
83,0.002162927994504571,2026-05-15 12:59:07.363318,2026-05-15 12:59:31.648284,0 days 00:00:24.284966,0.006042132926378006,80,1.809567945969536,0.34165397247415286,0.00738473519695991,4,0.5073365265532214,4000,COMPLETE
84,0.002229600679129362,2026-05-15 12:59:31.667403,2026-05-15 12:59:56.554353,0 days 00:00:24.886950,0.005351334247130307,80,1.8349117770022076,0.3302884335757707,0.00796765242460635,4,0.5164444474987407,4000,COMPLETE
85,0.002266754861921072,2026-05-15 12:59:56.570854,2026-05-15 13:00:23.255354,0 days 00:00:26.684500,0.012399482292210953,80,1.5500426023778864,0.5096586376972654,0.009980419859601719,4,0.49042177573054563,4000,COMPLETE
86,0.11125356703996658,2026-05-15 13:00:23.267793,2026-05-15 13:00:23.512820,0 days 00:00:00.245027,0.017250432207020588,96,2.288469765369223,0.35570899987758453,0.007103148120640866,4,0.3006765898501546,4000,PRUNED
87,0.04680220037698746,2026-05-15 13:00:23.519019,2026-05-15 13:00:24.096981,0 days 00:00:00.577962,0.007164336794979511,80,2.008250379983218,0.22139222122667285,0.0061180238245606275,4,0.5093967411214793,3500,PRUNED
88,0.10083852708339691,2026-05-15 13:00:24.105742,2026-05-15 13:00:24.351463,0 days 00:00:00.245721,0.004827285739647268,80,3.6088673113030105,1.0619618997081701,0.008270799093919446,4,0.5957263744652797,4500,PRUNED
89,0.1073753833770752,2026-05-15 13:00:24.360548,2026-05-15 13:00:24.596024,0 days 00:00:00.235476,0.10030619240124013,80,1.6469346307783486,0.7430356650961584,0.007471651658637708,4,0.4842072634471044,4000,PRUNED
90,0.11125504970550537,2026-05-15 13:00:24.603557,2026-05-15 13:00:24.838507,0 days 00:00:00.234950,0.15315857785872494,96,1.3993742262617375,0.5417809214046351,0.009188486679625059,4,0.5652441627699083,4000,PRUNED
91,0.04887997359037399,2026-05-15 13:00:24.846326,2026-05-15 13:00:25.399221,0 days 00:00:00.552895,0.019367551646088464,64,1.2166741071796097,0.40312166595963933,0.005574926094204884,4,0.46057993898856736,4500,PRUNED
92,0.10814214497804642,2026-05-15 13:00:25.405732,2026-05-15 13:00:25.628730,0 days 00:00:00.222998,0.012415672838444022,80,1.7934267322751574,0.6672589563100173,0.0064850975706552275,4,0.42421686416758714,4500,PRUNED
93,0.11616643518209457,2026-05-15 13:00:25.634833,2026-05-15 13:00:25.856964,0 days 00:00:00.222131,0.02381767454718559,64,1.5881551993316545,0.18811368569386278,0.00519956984703523,4,0.38409229141766676,4000,PRUNED
94,0.10390554368495941,2026-05-15 13:00:25.863585,2026-05-15 13:00:26.085386,0 days 00:00:00.221801,0.0055483042888272854,80,1.1334967134044847,0.2959586753081638,0.004396696561937034,4,0.3329548429204845,4500,PRUNED
95,0.09881994873285294,2026-05-15 13:00:26.091527,2026-05-15 13:00:26.307871,0 days 00:00:00.216344,0.01764354312209157,64,1.31030046740938,0.8755267050706611,0.0061209776142932696,4,0.49899968374000675,5000,PRUNED
96,0.007064283825457096,2026-05-15 13:00:26.314098,2026-05-15 13:00:32.496212,0 days 00:00:06.182114,0.01195971911291617,80,1.4991623689995186,0.4014907144322457,0.007502520664040638,4,0.5234435067071233,3500,PRUNED
97,0.11144260317087173,2026-05-15 13:00:32.505120,2026-05-15 13:00:32.775223,0 days 00:00:00.270103,0.002635783939288065,80,21.539622856634974,0.5448901993227546,0.0038461573067958684,4,0.5366674036843868,4000,PRUNED
98,0.15798965096473694,2026-05-15 13:00:32.782964,2026-05-15 13:00:33.029908,0 days 00:00:00.246944,0.025957247328564116,64,1.9919498741605053,1.7103155631301712,0.00027677717157907947,4,0.4699017318714537,4500,PRUNED
99,0.0983411893248558,2026-05-15 13:00:33.036779,2026-05-15 13:00:33.228590,0 days 00:00:00.191811,0.010016183939797915,80,1.2217295607326324,1.2488340930534907,0.0065828060084209125,3,0.44462362290601837,2500,PRUNED
100,0.07321805506944656,2026-05-15 13:00:33.235403,2026-05-15 13:00:33.620103,0 days 00:00:00.384700,0.036765476440473226,64,2.348190335364415,0.44747476261669306,0.005711918463211785,4,0.41356264976978174,4000,PRUNED
101,0.0022097090259194374,2026-05-15 13:00:33.627221,2026-05-15 13:01:01.174692,0 days 00:00:27.547471,0.004003154283050707,80,1.8233462096750668,0.3194120850559859,0.00821969682985758,4,0.515648379072076,4000,COMPLETE
102,0.0976426750421524,2026-05-15 13:01:01.188500,2026-05-15 13:01:01.438159,0 days 00:00:00.249659,0.015526320099991012,80,1.81604706416235,0.2534815984227863,0.008428627581728165,4,0.49571863538871996,3500,PRUNED
103,0.18489599227905273,2026-05-15 13:01:01.446113,2026-05-15 13:01:01.694802,0 days 00:00:00.248689,0.0006324110687772342,80,1.3661882584009055,0.352703338586763,0.0001004425122079089,4,0.36824934055753566,4000,PRUNED
104,0.10650951415300369,2026-05-15 13:01:01.702998,2026-05-15 13:01:01.918878,0 days 00:00:00.215880,0.0052336701816575616,96,1.6553664874783263,0.6374436880471626,0.007163010533210559,4,0.5141309701451326,4000,PRUNED
105,0.09745714068412781,2026-05-15 13:01:01.926268,2026-05-15 13:01:02.140864,0 days 00:00:00.214596,0.02129260835507512,80,1.086168043837017,0.11990275887816748,0.00952216109263055,4,0.5455082468559155,1000,PRUNED
106,0.1395130455493927,2026-05-15 13:01:02.148739,2026-05-15 13:01:02.337040,0 days 00:00:00.188301,0.19982139204939345,64,1.4742939939924955,2.342594699306927,0.007973449129753176,3,0.47776581183606476,4500,PRUNED
107,0.10256615281105042,2026-05-15 13:01:02.344379,2026-05-15 13:01:02.556081,0 days 00:00:00.211702,0.01010949882281098,80,2.178960341856731,1.0133855972121726,0.004884633872041278,4,0.5759055399781159,3000,PRUNED
108,0.09757907688617706,2026-05-15 13:01:02.563388,2026-05-15 13:01:02.776038,0 days 00:00:00.212650,0.03166519940698016,96,1.2884887487906218,0.17557603931290508,0.006839693031660292,4,0.35302944304270995,5000,PRUNED
109,0.04722876474261284,2026-05-15 13:01:02.783004,2026-05-15 13:01:03.277275,0 days 00:00:00.494271,0.0037818222675373033,64,1.9300409018194509,0.7316204733826794,0.005795754615862957,3,0.433296062604189,3500,PRUNED
110,0.09880740195512772,2026-05-15 13:01:03.283883,2026-05-15 13:01:03.498721,0 days 00:00:00.214838,0.016413261590698582,80,2.7782921609107993,0.21754941047408066,0.009116887967209721,4,0.5570930112600103,4000,PRUNED
111,0.002147157210856676,2026-05-15 13:01:03.504861,2026-05-15 13:01:27.549396,0 days 00:00:24.044535,0.0064911377923804504,80,1.8051453434663582,0.36231412739965607,0.007897486465044498,4,0.51949644281213,4000,COMPLETE
112,0.0022792965173721313,2026-05-15 13:01:27.566773,2026-05-15 13:01:49.084749,0 days 00:00:21.517976,0.008059172264309798,80,1.6277658466386233,0.47837090205593386,0.007961719136648055,4,0.5265333149777773,4000,COMPLETE
113,0.10269704461097717,2026-05-15 13:01:49.096477,2026-05-15 13:01:49.364279,0 days 00:00:00.267802,0.00035859920099492147,80,1.1846971146275493,0.3039099511765942,0.00519995553248938,4,0.5088956165432297,4500,PRUNED
114,0.047632284462451935,2026-05-15 13:01:49.372853,2026-05-15 13:01:50.049471,0 days 00:00:00.676618,0.010625819403951773,64,1.7506890271377278,0.3853605593075506,0.006343062798760515,4,0.8991842186365702,4000,PRUNED
115,0.10256335884332657,2026-05-15 13:01:50.056604,2026-05-15 13:01:50.327682,0 days 00:00:00.271078,0.014167683129356484,80,1.4927797707236412,0.5561403501728223,0.0072607358210223715,4,0.5391586289999935,4500,PRUNED
116,0.09972478449344635,2026-05-15 13:01:50.333751,2026-05-15 13:01:50.555954,0 days 00:00:00.222203,0.0210255265124825,64,5.076395613048922,0.8461887322941697,0.004450120894501704,4,0.45612924111076547,3500,PRUNED
117,0.19374394416809082,2026-05-15 13:01:50.562307,2026-05-15 13:01:50.805291,0 days 00:00:00.242984,0.004721694675292021,80,1.3489555963790727,0.24540689481430045,0.000129581765882575,5,0.48241261128665175,4000,PRUNED
